food,area_ratio,aspect_ratio,solidity,eccentricity,equiv_diameter,thickness,volume_proxy,roundness,compactness,elongation,fill_ratio,weight,log_weight
banana,0.38405432595134387,0.9220779190841626,0.6606619599075565,0.9064101767803368,206.81684956945134,0.38405432595134387,16427.236053365294,0.40638524753554894,30.922310025227368,2.367431980017791,0.6606619599075565,65.0,4.189654742026425
banana,0.3512247533537747,0.9247787590159762,0.8465021940906406,0.9678266692011571,290.6731892505407,0.3512247533537747,29675.296548928567,0.4379239162003148,28.695328456130962,3.974280940416672,0.8465021940906406,175.0,5.170483995038151
banana,0.6501380679051416,3.1337209120132505,0.8840275740556759,0.9678555529191947,277.02340529244543,0.6501380679051416,49892.87420451577,0.4449331134581726,28.243280246042293,3.9760369234384134,0.8840275740556759,175.0,5.170483995038151
banana,0.6502637986947011,3.1818181637396696,0.8128812957293244,0.9652116168901036,285.66050203357935,0.6502637986947011,53062.77605496983,0.40858123655529704,30.756112835974545,3.8245312496610335,0.8128812957293244,175.0,5.170483995038151
banana,0.6066138278576564,2.9414893460559077,0.890951472757068,0.9679309447402019,283.36923814745273,0.6066138278576564,48709.95305385158,0.4558694219436871,27.56572388771667,3.9806316032554023,0.890951472757068,175.0,5.170483995038151
banana,0.5755648148094855,2.6999999865,0.8940941257566583,0.9686128056231116,281.3287104798983,0.5755648148094855,45553.56266509021,0.4562507419186232,27.54268532541041,4.02294037333128,0.8940941257566583,175.0,5.170483995038151
banana,0.7224908266703811,3.445121930212671,0.9163655278017362,0.9674061433991248,291.9559805207631,0.7224908266703811,61583.88590195738,0.47741522576115647,26.321679611557038,3.948981601123536,0.9163655278017362,175.0,5.170483995038151
banana,0.6120333175743145,2.9999999836956524,0.8938143440373008,0.9696221376547848,281.3332362508417,0.6120333175743145,48441.45160181529,0.4521382338543158,27.793204982967175,4.088179288372104,0.8938143440373008,175.0,5.170483995038151
banana,0.6640087618667704,0.30281690087532237,0.8996241800482656,0.9700344315946349,287.39575937462047,0.6640087618667704,54844.68184229932,0.4586999089343946,27.395624828771634,4.115776931614327,0.8996241800482656,175.0,5.170483995038151
banana,0.7486633638991924,0.2686025403473638,0.9035504447171996,0.969225665908782,278.8078562113542,0.7486633638991924,58196.463682896865,0.46016738388288425,27.308260112029217,4.062168378332671,0.9035504447171996,175.0,5.170483995038151
banana,0.43980763709130194,1.9111111040329218,0.9204308182103255,0.9688824610213972,279.3143030066709,0.43980763709130194,34312.243663212,0.4562310799067163,27.54387232171038,4.040056890602415,0.9204308182103255,175.0,5.170483995038151
banana,0.6066138278576564,2.9414893460559077,0.890951472757068,0.9679309447402019,283.36923814745273,0.6066138278576564,48709.95305385158,0.4558694219436871,27.56572388771667,3.9806316032554023,0.890951472757068,175.0,5.170483995038151
banana,0.5755648148094855,2.6999999865,0.8940941257566583,0.9686128056231116,281.3287104798983,0.5755648148094855,45553.56266509021,0.4562507419186232,27.54268532541041,4.02294037333128,0.8940941257566583,175.0,5.170483995038151
banana,0.7224908266703811,3.445121930212671,0.9163655278017362,0.9674061433991248,291.9559805207631,0.7224908266703811,61583.88590195738,0.47741522576115647,26.321679611557038,3.948981601123536,0.9163655278017362,175.0,5.170483995038151
banana,0.48973184681190185,0.5576923063517012,0.7665547608497291,0.9328135830712226,245.31544403462956,0.48973184681190185,29471.899500547963,0.4625601280879878,27.16699916619954,2.775008211528872,0.7665547608497291,110.0,4.709530201312334
banana,0.6185353535275439,2.4444444308641975,0.7688613356231835,0.9361612290401294,249.7467894037602,0.6185353535275439,38580.189400409494,0.45718544573204967,27.486375017848456,2.844375827109693,0.7688613356231835,110.0,4.709530201312334
banana,0.42248757101897655,1.0999999965625,0.7877278069159331,0.931613208190118,246.15482261048973,0.42248757101897655,25599.45000412182,0.4835980623033083,25.985155015371912,2.751400418419591,0.7877278069159331,110.0,4.709530201312334
banana,0.41780587832862437,0.8105263136565097,0.7912109248464305,0.9326482586450892,249.52237121658945,0.41780587832862437,26013.184652598735,0.46846277441178835,26.82469408561056,2.771718835730406,0.7912109248464305,110.0,4.709530201312334
banana,0.39925766283206215,1.034482755648038,0.7680814471182077,0.9346390025406806,252.36118716654528,0.39925766283206215,25427.190905068263,0.46374631827614093,27.097510252611727,2.81216431115517,0.7680814471182077,110.0,4.709530201312334
